commodities,sectors,table,subtable
441,F06E,use,exogenous_final_demand
441,F06N,use,exogenous_final_demand
441,F06S,use,exogenous_final_demand
441,F07C,use,exogenous_final_demand
441,F07E,use,exogenous_final_demand
441,F07N,use,exogenous_final_demand
441,F07S,use,exogenous_final_demand
441,F10C,use,exogenous_final_demand
441,F10E,use,exogenous_final_demand
441,F10N,use,exogenous_final_demand
441,F10S,use,exogenous_final_demand
445,F02E,use,exogenous_final_demand
445,F02N,use,exogenous_final_demand
445,F02R,use,exogenous_final_demand
445,F02S,use,exogenous_final_demand
445,F030,use,exogenous_final_demand
445,F06C,use,exogenous_final_demand
445,F06E,use,exogenous_final_demand
445,F06N,use,exogenous_final_demand
445,F06S,use,exogenous_final_demand
445,F07C,use,exogenous_final_demand
445,F07E,use,exogenous_final_demand
445,F07N,use,exogenous_final_demand
445,F07S,use,exogenous_final_demand
445,F10C,use,exogenous_final_demand
445,F10E,use,exogenous_final_demand
445,F10N,use,exogenous_final_demand
445,F10S,use,exogenous_final_demand
452,F02E,use,exogenous_final_demand
452,F02N,use,exogenous_final_demand
452,F02R,use,exogenous_final_demand
452,F02S,use,exogenous_final_demand
452,F030,use,exogenous_final_demand
452,F06C,use,exogenous_final_demand
452,F06E,use,exogenous_final_demand
452,F06N,use,exogenous_final_demand
452,F06S,use,exogenous_final_demand
452,F07C,use,exogenous_final_demand
452,F07E,use,exogenous_final_demand
452,F07N,use,exogenous_final_demand
452,F07S,use,exogenous_final_demand
452,F10C,use,exogenous_final_demand
452,F10E,use,exogenous_final_demand
452,F10N,use,exogenous_final_demand
452,F10S,use,exogenous_final_demand
481,F02E,use,exogenous_final_demand
481,F02N,use,exogenous_final_demand
481,F02R,use,exogenous_final_demand
481,F02S,use,exogenous_final_demand
481,F030,use,exogenous_final_demand
481,F06C,use,exogenous_final_demand
481,F06E,use,exogenous_final_demand
481,F06N,use,exogenous_final_demand
481,F06S,use,exogenous_final_demand
481,F07C,use,exogenous_final_demand
481,F07E,use,exogenous_final_demand
481,F07N,use,exogenous_final_demand
481,F07S,use,exogenous_final_demand
481,F10C,use,exogenous_final_demand
481,F10E,use,exogenous_final_demand
481,F10N,use,exogenous_final_demand
481,F10S,use,exogenous_final_demand
482,F02E,use,exogenous_final_demand
482,F02N,use,exogenous_final_demand
482,F02R,use,exogenous_final_demand
482,F02S,use,exogenous_final_demand
482,F030,use,exogenous_final_demand
482,F06C,use,exogenous_final_demand
482,F06E,use,exogenous_final_demand
482,F06N,use,exogenous_final_demand
482,F06S,use,exogenous_final_demand
482,F07C,use,exogenous_final_demand
482,F07E,use,exogenous_final_demand
482,F07N,use,exogenous_final_demand
482,F07S,use,exogenous_final_demand
482,F10C,use,exogenous_final_demand
482,F10E,use,exogenous_final_demand
482,F10N,use,exogenous_final_demand
482,F10S,use,exogenous_final_demand
483,F02E,use,exogenous_final_demand
483,F02N,use,exogenous_final_demand
483,F02R,use,exogenous_final_demand
483,F02S,use,exogenous_final_demand
483,F030,use,exogenous_final_demand
483,F06C,use,exogenous_final_demand
483,F06E,use,exogenous_final_demand
483,F06N,use,exogenous_final_demand
483,F06S,use,exogenous_final_demand
483,F07C,use,exogenous_final_demand
483,F07E,use,exogenous_final_demand
483,F07N,use,exogenous_final_demand
483,F07S,use,exogenous_final_demand
483,F10C,use,exogenous_final_demand
483,F10E,use,exogenous_final_demand
483,F10N,use,exogenous_final_demand
483,F10S,use,exogenous_final_demand
484,F02E,use,exogenous_final_demand
484,F02N,use,exogenous_final_demand
484,F02R,use,exogenous_final_demand
484,F02S,use,exogenous_final_demand
484,F030,use,exogenous_final_demand
484,F06C,use,exogenous_final_demand
484,F06E,use,exogenous_final_demand
484,F06N,use,exogenous_final_demand
484,F06S,use,exogenous_final_demand
484,F07C,use,exogenous_final_demand
484,F07E,use,exogenous_final_demand
484,F07N,use,exogenous_final_demand
484,F07S,use,exogenous_final_demand
484,F10C,use,exogenous_final_demand
484,F10E,use,exogenous_final_demand
484,F10N,use,exogenous_final_demand
484,F10S,use,exogenous_final_demand
485,F02E,use,exogenous_final_demand
485,F02N,use,exogenous_final_demand
485,F02R,use,exogenous_final_demand
485,F02S,use,exogenous_final_demand
485,F030,use,exogenous_final_demand
485,F06C,use,exogenous_final_demand
485,F06E,use,exogenous_final_demand
485,F06N,use,exogenous_final_demand
485,F06S,use,exogenous_final_demand
485,F07C,use,exogenous_final_demand
485,F07E,use,exogenous_final_demand
485,F07N,use,exogenous_final_demand
485,F07S,use,exogenous_final_demand
485,F10C,use,exogenous_final_demand
485,F10E,use,exogenous_final_demand
485,F10N,use,exogenous_final_demand
485,F10S,use,exogenous_final_demand
486,F02E,use,exogenous_final_demand
486,F02N,use,exogenous_final_demand
486,F02R,use,exogenous_final_demand
486,F02S,use,exogenous_final_demand
486,F030,use,exogenous_final_demand
486,F06C,use,exogenous_final_demand
486,F06E,use,exogenous_final_demand
486,F06N,use,exogenous_final_demand
486,F06S,use,exogenous_final_demand
486,F07C,use,exogenous_final_demand
486,F07E,use,exogenous_final_demand
486,F07N,use,exogenous_final_demand
486,F07S,use,exogenous_final_demand
486,F10C,use,exogenous_final_demand
486,F10E,use,exogenous_final_demand
486,F10N,use,exogenous_final_demand
486,F10S,use,exogenous_final_demand
493,F02E,use,exogenous_final_demand
493,F02N,use,exogenous_final_demand
493,F02R,use,exogenous_final_demand
493,F02S,use,exogenous_final_demand
493,F030,use,exogenous_final_demand
493,F06C,use,exogenous_final_demand
493,F06E,use,exogenous_final_demand
493,F06N,use,exogenous_final_demand
493,F06S,use,exogenous_final_demand
493,F07C,use,exogenous_final_demand
493,F07E,use,exogenous_final_demand
493,F07N,use,exogenous_final_demand
493,F07S,use,exogenous_final_demand
493,F10C,use,exogenous_final_demand
493,F10E,use,exogenous_final_demand
493,F10N,use,exogenous_final_demand
493,F10S,use,exogenous_final_demand
511,F02E,use,exogenous_final_demand
511,F02N,use,exogenous_final_demand
511,F02R,use,exogenous_final_demand
511,F02S,use,exogenous_final_demand
511,F030,use,exogenous_final_demand
511,F06C,use,exogenous_final_demand
511,F06E,use,exogenous_final_demand
511,F06N,use,exogenous_final_demand
511,F06S,use,exogenous_final_demand
511,F07C,use,exogenous_final_demand
511,F07E,use,exogenous_final_demand
511,F07N,use,exogenous_final_demand
511,F07S,use,exogenous_final_demand
511,F10C,use,exogenous_final_demand
511,F10E,use,exogenous_final_demand
511,F10N,use,exogenous_final_demand
511,F10S,use,exogenous_final_demand
512,F02E,use,exogenous_final_demand
512,F02N,use,exogenous_final_demand
512,F02R,use,exogenous_final_demand
512,F02S,use,exogenous_final_demand
512,F030,use,exogenous_final_demand
512,F06C,use,exogenous_final_demand
512,F06E,use,exogenous_final_demand
512,F06N,use,exogenous_final_demand
512,F06S,use,exogenous_final_demand
512,F07C,use,exogenous_final_demand
512,F07E,use,exogenous_final_demand
512,F07N,use,exogenous_final_demand
512,F07S,use,exogenous_final_demand
512,F10C,use,exogenous_final_demand
512,F10E,use,exogenous_final_demand
512,F10N,use,exogenous_final_demand
512,F10S,use,exogenous_final_demand
513,F02E,use,exogenous_final_demand
513,F02N,use,exogenous_final_demand
513,F02R,use,exogenous_final_demand
513,F02S,use,exogenous_final_demand
513,F030,use,exogenous_final_demand
513,F06C,use,exogenous_final_demand
513,F06E,use,exogenous_final_demand
513,F06N,use,exogenous_final_demand
513,F06S,use,exogenous_final_demand
513,F07C,use,exogenous_final_demand
513,F07E,use,exogenous_final_demand
513,F07N,use,exogenous_final_demand
513,F07S,use,exogenous_final_demand
513,F10C,use,exogenous_final_demand
513,F10E,use,exogenous_final_demand
513,F10N,use,exogenous_final_demand
513,F10S,use,exogenous_final_demand
514,F02E,use,exogenous_final_demand
514,F02N,use,exogenous_final_demand
