var_name,value,margin
PY→VAfbp,0.9877415267986,-0.0
PY→VArec,0.989555098284707,0.0
PY→VAcon,0.989062920962056,-0.0
PY→VAagr,0.985850956642859,0.0
PY→VAeec,0.988698993136152,0.0
PY→VAfnd,0.988824866185949,-0.0
PY→VApub,0.988126621213275,0.0
PY→VAhou,0.984297850139392,0.0
PY→VAfbt,0.989823606257293,0.0
PY→VAins,0.988051911310937,0.0
PY→VAtex,0.989530492237499,0.0
PY→VAleg,0.988213657478175,0.0
PY→VAfen,0.990580842114268,-0.0
PY→VAuti,0.98658379562865,0.0
PY→VAnmp,0.987823766598416,0.0
PY→VAbrd,0.986238279048327,0.0
PY→VAbnk,0.98731109476323,0.0
PY→VAore,0.98577722097905,0.0
PY→VAedu,0.990119846528612,-0.0
PY→VAote,0.98807109619429,0.0
PY→VAman,0.990795756070258,-0.0
PY→VAmch,0.988867241740571,0.0
PY→VAdat,0.986698263288549,0.0
PY→VAamd,0.988651843482585,0.0
PY→VAoil,0.985707417734052,0.0
PY→VAhos,0.990525013301513,-0.0
PY→VArnt,0.985490396446888,0.0
PY→VApla,0.988774838459143,0.0
PY→VAfof,0.989567562827765,0.0
PY→VAfin,0.984893526381692,-0.0
PY→VAtsv,0.989287915020945,-0.0
PY→VAnrs,0.991164867399656,0.0
PY→VAsec,0.99050474442755,-0.0
PY→VAart,0.987830669023223,0.0
PY→VAmov,0.987187166976263,0.0
PY→VAfpd,0.989706990614521,0.0
PY→VAslg,0.990626378001199,-0.0
PY→VApri,0.989098630376746,-0.0
PY→VAgrd,0.987955728744625,0.0
PY→VApip,0.985740311430408,0.0
PY→VAsle,0.989039114048644,-0.0
PY→VAosv,0.989972347967114,-0.0
PY→VAtrn,0.988170165039952,0.0
PY→VAsmn,0.989551402115229,0.0
PY→VAfmt,0.989206131918419,0.0
PY→VApet,0.985328855763204,0.0
PY→VAmvt,0.989731251503526,0.0
PY→VAcep,0.988304170623116,0.0
PY→VAwst,0.988649798929717,0.0
PY→VAmot,0.987797362939134,-0.0
PY→VAadm,0.989806992640632,-0.0
PY→VAsoc,0.99101320077324,0.0
PY→VAalt,0.990605648806651,0.0
PY→VApmt,0.98803777843463,0.0
PY→VAtrk,0.988934566062154,-0.0
PY→VAfdd,0.988674265909162,0.0
