yr,i,j,value,
2010,edu,ppd,#N/A,
2003,edu,ppd,#N/A,
2011,edu,ppd,#N/A,
2001,edu,ppd,#N/A,
2008,ote,ppd,#N/A,
2009,ote,ppd,#N/A,
2005,ote,ppd,#N/A,
2006,ote,ppd,#N/A,
2012,ote,ppd,#N/A,
2014,ote,ppd,#N/A,
2013,ote,ppd,#N/A,
1999,ote,ppd,#N/A,
2002,ote,ppd,#N/A,
2017,ote,ppd,#N/A,
2016,ote,ppd,#N/A,
2015,ote,ppd,#N/A,
1998,ote,ppd,#N/A,
2004,ote,ppd,#N/A,
2000,ote,ppd,#N/A,
1997,ote,ppd,#N/A,
2007,ote,ppd,#N/A,
2010,ote,ppd,#N/A,
2003,ote,ppd,#N/A,
2011,ote,ppd,#N/A,
2001,ote,ppd,#N/A,
2008,man,ppd,0.8670581082107600,
2009,man,ppd,1.3821191174506000,
2005,man,ppd,1.3587664328395400,
2006,man,ppd,2.3621594987925100,
2012,man,ppd,2.3062871592475400,
2014,man,ppd,2.1753745143468500,
2013,man,ppd,2.1790793923696400,
1999,man,ppd,1.7865572900378900,
2002,man,ppd,1.2121178393701600,
2017,man,ppd,3.1034045718256800,
2016,man,ppd,2.6993753625704300,
2015,man,ppd,2.6419472825989000,
1998,man,ppd,1.7551994265095000,
2004,man,ppd,1.2090713463399300,
2000,man,ppd,1.9264385110662500,
1997,man,ppd,1.5624875147724700,
2007,man,ppd,1.5857869784907200,
2010,man,ppd,2.2993540784007200,
2003,man,ppd,1.9257521582079600,
2011,man,ppd,2.2453521566706000,
2001,man,ppd,1.7816869632872900,
2008,mch,ppd,1.0756112905584100,
2009,mch,ppd,0.8697788523826340,
2005,mch,ppd,0.8381664998669770,
2006,mch,ppd,0.9173788847237950,
2012,mch,ppd,1.2574558382699700,
2014,mch,ppd,1.0574476217953400,
2013,mch,ppd,1.0420347433444700,
1999,mch,ppd,0.9190028684799270,
2002,mch,ppd,0.6738008583856640,
2017,mch,ppd,1.0769685506745000,
2016,mch,ppd,1.1104750459643700,
2015,mch,ppd,1.1724201857680400,
1998,mch,ppd,1.0264677382643100,
2004,mch,ppd,0.7123603060516970,
2000,mch,ppd,0.9560389496335550,
1997,mch,ppd,0.9249201598769170,
2007,mch,ppd,1.1540635655260900,
2010,mch,ppd,0.9157278911917000,
2003,mch,ppd,0.7150752463826110,
2011,mch,ppd,1.0334646603712400,
2001,mch,ppd,1.0454697784920200,
2008,dat,ppd,0.2618533167020800,
2009,dat,ppd,0.2107833254405480,
2005,dat,ppd,0.2992496640290500,
2006,dat,ppd,0.3462683120250180,
2012,dat,ppd,0.3028971767834090,
2014,dat,ppd,0.3483975129343470,
2013,dat,ppd,0.3255531185221950,
1999,dat,ppd,0.3291166180387690,
2002,dat,ppd,0.3197593228041990,
2017,dat,ppd,0.6448292585015810,
2016,dat,ppd,0.3585581939167070,
2015,dat,ppd,0.3188363526364730,
1998,dat,ppd,0.3066711937696400,
2004,dat,ppd,0.2624038802066020,
2000,dat,ppd,0.3427297254928440,
1997,dat,ppd,0.2755400498768350,
2007,dat,ppd,0.3034129955555620,
2010,dat,ppd,0.2424657990971630,
2003,dat,ppd,0.3292658248850350,
2011,dat,ppd,0.2063939257218130,
2001,dat,ppd,0.3297757395788840,
2008,amd,ppd,0.1482365054098080,
