yr,i,value,,
2010,oil,567.4883532,,
2003,oil,284.1245345,,
2011,oil,690.7348806,,
2001,oil,233.8534336,,
2008,hos,696.3100027,,
2009,hos,745.4161729,,
2005,hos,574.0481009,,
2006,hos,615.7982866,,
2012,hos,853.7813327,,
2014,hos,923.066872,,
2013,hos,888.3305639,,
1999,hos,379.5851792,,
2002,hos,474.4148439,,
2017,hos,1093.94611,,
2016,hos,1043.747722,,
2015,hos,984.5175324,,
1998,hos,364.4963763,,
2004,hos,537.2565407,,
2000,hos,402.4588083,,
1997,hos,342.6731166,,
2007,hos,650.1282223,,
2010,hos,776.9824683,,
2003,hos,505.6434417,,
2011,hos,814.1987283,,
2001,hos,436.3487552,,
2008,rnt,315.9486055,,
2009,rnt,272.0008166,,
2005,rnt,271.9662856,,
2006,rnt,296.5142111,,
2012,rnt,302.2169617,,
2014,rnt,353.294183,,
2013,rnt,326.6146719,,
1999,rnt,239.598055,,
2002,rnt,241.8701303,,
2017,rnt,374.3605122,,
2016,rnt,363.5245802,,
2015,rnt,359.4528789,,
1998,rnt,223.0203068,,
2004,rnt,254.8652872,,
2000,rnt,264.5926564,,
1997,rnt,201.4166877,,
2007,rnt,299.4039971,,
2010,rnt,281.9407679,,
2003,rnt,249.8933181,,
2011,rnt,286.1588425,,
2001,rnt,263.4339813,,
2008,pla,288.2115961,,
2009,pla,246.249966,,
2005,pla,276.0291165,,
2006,pla,294.9329508,,
2012,pla,325.8875956,,
2014,pla,351.1336676,,
2013,pla,337.8025501,,
1999,pla,225.4904225,,
2002,pla,230.2000326,,
2017,pla,360.1352662,,
2016,pla,358.1541274,,
2015,pla,358.0026989,,
1998,pla,210.9505161,,
2004,pla,253.2185506,,
2000,pla,232.9709806,,
1997,pla,205.6616254,,
2007,pla,293.2729086,,
2010,pla,276.7003832,,
2003,pla,237.3652021,,
2011,pla,299.3808431,,
2001,pla,224.2096981,,
2008,fof,71.46528389,,
2009,fof,65.2804101,,
2005,fof,71.70391339,,
2006,fof,74.0662555,,
2012,fof,75.73356117,,
2014,fof,88.12396084,,
2013,fof,78.45006109,,
1999,fof,67.35130953,,
2002,fof,59.56981903,,
2017,fof,91.53439457,,
2016,fof,84.52738026,,
2015,fof,84.82436309,,
1998,fof,63.4331604,,
2004,fof,69.62735134,,
2000,fof,59.42142402,,
1997,fof,57.41862578,,
2007,fof,70.32159526,,
2010,fof,73.70235047,,
2003,fof,63.67588878,,
2011,fof,81.81138457,,
2001,fof,58.14700551,,
2008,fin,139.5191863,,
2009,fin,117.9083,,
2005,fin,107.3890536,,
2006,fin,118.3995192,,
2012,fin,139.542826,,
2014,fin,168.0820556,,
2013,fin,160.1657524,,
1999,fin,87.24018241,,
2002,fin,87.62093575,,
2017,fin,183.5585127,,
2016,fin,181.7206013,,
2015,fin,188.234639,,
1998,fin,77.04753166,,
2004,fin,98.69103281,,
2000,fin,104.862059,,
1997,fin,67.54300131,,
2007,fin,136.2579194,,
2010,fin,127.7069812,,
2003,fin,87.0103576,,
2011,fin,134.1247411,,
2001,fin,96.70307294,,
2008,tsv,1509.3416,,
2009,tsv,1423.889638,,
2005,tsv,1262.360258,,
2006,tsv,1344.966745,,
2012,tsv,1589.545638,,
2014,tsv,1741.486788,,
2013,tsv,1644.638704,,
1999,tsv,919.8880323,,
2002,tsv,1056.018325,,
2017,tsv,1990.10753,,
2016,tsv,1909.376077,,
2015,tsv,1818.588744,,
1998,tsv,850.9733504,,
2004,tsv,1167.615779,,
2000,tsv,1016.796409,,
1997,tsv,786.850252,,
2007,tsv,1442.086082,,
2010,tsv,1459.899668,,
2003,tsv,1092.420349,,
2011,tsv,1533.930664,,
2001,tsv,1043.336525,,
2008,nrs,181.8033758,,
2009,nrs,186.9775593,,
2005,nrs,154.4612654,,
2006,nrs,163.1102378,,
2012,nrs,209.3488232,,
2014,nrs,221.5437901,,
2013,nrs,214.3106177,,
1999,nrs,105.0133422,,
2002,nrs,127.4088729,,
