yr,m,i,Value
2011,trn,amd,8.18E-13
2011,trn,oil,42.51902169
2011,trn,hos,8.16E-13
2011,trn,rnt,8.11E-13
2011,trn,pla,4.532367856
2011,trn,fof,3.283663555
2011,trn,fin,8.19E-13
2011,trn,tsv,8.16E-13
2011,trn,nrs,8.18E-13
2011,trn,sec,8.15E-13
2011,trn,art,8.15E-13
2011,trn,mov,0.130891626
2011,trn,fpd,12.34842511
2011,trn,slg,8.16E-13
2011,trn,pri,3.248531071
2011,trn,grd,8.19E-13
2011,trn,pip,7.94E-13
2011,trn,sle,8.16E-13
2011,trn,osv,8.16E-13
2011,trn,trn,8.14E-13
2011,trn,smn,8.19E-13
2011,trn,fmt,10.09153506
2011,trn,pet,24.10577407
2011,trn,cep,8.755506387
2011,trn,wst,8.16E-13
2011,trn,mot,10.39852945
2011,trn,adm,8.15E-13
2011,trn,soc,8.19E-13
2011,trn,alt,7.954224401
2011,trn,pmt,13.51703416
2011,trn,trk,8.12E-13
2011,trn,fdd,8.16E-13
2011,trn,wtt,8.05E-13
2011,trn,wpd,5.566598384
2011,trn,wht,8.16E-13
2011,trn,wrh,8.14E-13
2011,trn,ott,8.13E-13
2011,trn,che,30.69866319
