yr,i,m,Value
2001,pet,trd,5.33919E-12
2001,mvt,trn,5.28106E-12
2001,mvt,trd,82.84620552
2001,cep,trn,5.28743E-12
2001,cep,trd,5.33501E-12
2001,wst,trn,5.2838E-12
2001,wst,trd,5.33139E-12
2001,mot,trn,5.29073E-12
2001,mot,trd,5.33837E-12
2001,adm,trn,5.29916E-12
2001,adm,trd,5.34686E-12
2001,soc,trn,5.25349E-12
2001,soc,trd,5.30076E-12
2001,alt,trn,5.26325E-12
2001,alt,trd,5.31055E-12
2001,pmt,trn,5.26298E-12
2001,pmt,trd,5.31031E-12
2001,trk,trn,148.8948927
2001,trk,trd,5.36109E-12
2001,fdd,trn,5.29021E-12
2001,fdd,trd,5.33787E-12
2001,gmt,trn,5.27826E-12
2001,gmt,trd,105.1667067
2001,wtt,trn,8.499987248
2001,wtt,trd,5.34046E-12
2001,wpd,trn,5.28311E-12
2001,wpd,trd,5.3307E-12
2001,wht,trn,5.2824E-12
2001,wht,trd,650.7021495
2001,wrh,trn,5.30623E-12
2001,wrh,trd,5.35402E-12
2001,ott,trn,5.28374E-12
2001,ott,trd,440.7614792
2001,che,trn,5.28976E-12
2001,che,trd,5.33738E-12
2001,air,trn,1.694244831
2001,air,trd,5.35107E-12
2001,mmf,trn,5.26962E-12
2001,mmf,trd,5.31703E-12
2001,otr,trn,1.348583778
2001,otr,trd,5.34255E-12
2001,min,trn,5.2759E-12
2001,min,trd,5.32343E-12
2002,ppd,trn,1.62096E-11
2002,ppd,trd,1.63437E-11
2002,res,trn,1.61988E-11
2002,res,trd,1.63329E-11
2002,com,trn,1.61727E-11
2002,com,trd,1.63063E-11
2002,amb,trn,1.6216E-11
2002,amb,trd,1.63502E-11
2002,fbp,trn,1.62207E-11
2002,fbp,trd,1.6355E-11
2002,rec,trn,1.61504E-11
2002,rec,trd,1.6284E-11
2002,con,trn,1.62298E-11
2002,con,trd,1.63642E-11
2002,agr,trn,1.62135E-11
2002,agr,trd,1.63479E-11
2002,eec,trn,1.61755E-11
2002,eec,trd,1.63092E-11
2002,fnd,trn,1.62061E-11
2002,fnd,trd,1.63403E-11
2002,pub,trn,1.62013E-11
2002,pub,trd,1.63353E-11
2002,hou,trn,1.62186E-11
2002,hou,trd,1.63529E-11
2002,fbt,trn,1.61783E-11
2002,fbt,trd,127.7954011
2002,ins,trn,1.62365E-11
2002,ins,trd,1.63709E-11
2002,tex,trn,1.61944E-11
2002,tex,trd,1.63283E-11
2002,leg,trn,1.62678E-11
2002,leg,trd,1.64025E-11
2002,fen,trn,1.63222E-11
2002,fen,trd,1.64575E-11
2002,uti,trn,1.62534E-11
2002,uti,trd,1.63881E-11
2002,nmp,trn,1.61891E-11
2002,nmp,trd,1.6323E-11
2002,brd,trn,1.62532E-11
2002,brd,trd,1.63879E-11
2002,bnk,trn,1.6225E-11
2002,bnk,trd,1.63592E-11
2002,ore,trn,1.62607E-11
2002,ore,trd,1.63953E-11
2002,edu,trn,1.62181E-11
2002,edu,trd,1.63524E-11
2002,ote,trn,1.61798E-11
2002,ote,trd,1.63136E-11
2002,man,trn,1.62595E-11
2002,man,trd,1.63941E-11
2002,mch,trn,1.61949E-11
2002,mch,trd,1.63289E-11
2002,dat,trn,1.62697E-11
2002,dat,trd,1.64045E-11
2002,amd,trn,1.61699E-11
2002,amd,trd,1.63035E-11
2002,oil,trn,1.61288E-11
2002,oil,trd,1.6262E-11
2002,hos,trn,1.62362E-11
2002,hos,trd,1.63707E-11
2002,rnt,trn,1.62539E-11
2002,rnt,trd,1.63885E-11
2002,pla,trn,1.62166E-11
2002,pla,trd,1.63508E-11
2002,fof,trn,1.60901E-11
2002,fof,trd,1.62229E-11
2002,fin,trn,1.61951E-11
2002,fin,trd,1.63292E-11
2002,tsv,trn,1.62388E-11
2002,tsv,trd,1.63737E-11
2002,nrs,trn,1.61586E-11
2002,nrs,trd,1.62921E-11
2002,sec,trn,1.62494E-11
2002,sec,trd,1.6384E-11
2002,art,trn,1.6237E-11
2002,art,trd,1.63714E-11
2002,mov,trn,1.61587E-11
2002,mov,trd,1.62923E-11
2002,fpd,trn,1.61228E-11
2002,fpd,trd,1.62559E-11
2002,slg,trn,1.62218E-11
2002,slg,trd,1.63562E-11
2002,pri,trn,1.62026E-11
2002,pri,trd,1.63366E-11
2002,grd,trn,1.61122E-11
2002,grd,trd,1.62452E-11
2002,pip,trn,20.55357455
2002,pip,trd,1.6318E-11
2002,sle,trn,1.621E-11
2002,sle,trd,1.63441E-11
2002,osv,trn,1.62323E-11
2002,osv,trd,1.63667E-11
2002,trn,trn,32.42821629
2002,trn,trd,1.63745E-11
2002,smn,trn,1.60517E-11
2002,smn,trd,1.61841E-11
2002,fmt,trn,1.62145E-11
2002,fmt,trd,1.63487E-11
2002,pet,trn,1.62085E-11
2002,pet,trd,1.63426E-11
2002,mvt,trn,1.61795E-11
2002,mvt,trd,108.7700573
2002,cep,trn,1.61907E-11
2002,cep,trd,1.63245E-11
2002,wst,trn,1.61909E-11
2002,wst,trd,1.63248E-11
2002,mot,trn,1.62098E-11
2002,mot,trd,1.63439E-11
2002,adm,trn,1.6231E-11
2002,adm,trd,1.63653E-11
