yr,j,Value
2013,ppd,0.009071074
2013,res,0.006376427
2013,com,0.0042117
2013,amb,0.007960447
2013,fbp,0.006972717
2013,rec,0.02384905
2013,con,0.005701157
2013,agr,0.019046896
2013,eec,0.008422974
2013,pub,0.008744527
2013,hou,0.121150352
2013,fbt,0.015323689
2013,ins,0.005787874
2013,tex,0.010669235
2013,leg,0.003992809
2013,uti,0.061851733
2013,nmp,0.011356788
2013,brd,0.006259735
2013,bnk,0.020155759
2013,ore,0.023458499
2013,edu,0.023549623
2013,ote,0.007431553
2013,man,0.014556953
2013,mch,0.008190436
2013,dat,0.008604612
2013,amd,0.022426348
2013,oil,0.044631483
2013,hos,0.014049882
2013,rnt,0.022885015
2013,pla,0.006349632
2013,fof,0.021346605
2013,fin,0.005730267
2013,tsv,0.006804925
2013,nrs,0.014473224
2013,sec,0.007477134
2013,art,0.014522634
2013,mov,0.028085171
2013,fpd,0.005324449
2013,pri,0.008762335
2013,grd,0.016066603
2013,pip,0.068716094
2013,osv,0.01570823
2013,trn,0.012720696
2013,smn,0.015847574
2013,fmt,0.007636697
2013,pet,0.003523628
2013,mvt,0.015628546
2013,cep,0.019693032
2013,wst,0.021049461
2013,mot,0.005156795
2013,adm,0.00454294
2013,soc,0.005821155
2013,alt,0.013937282
2013,pmt,0.008681138
2013,trk,0.011682966
2013,gmt,0.016392355
2013,wtt,0.014141368
2013,wpd,0.00665539
2013,wht,0.007258394
2013,wrh,0.005337495
2013,ott,0.014619681
2013,che,0.014195418
2013,air,0.016971752
2013,mmf,0.009731364
2013,otr,0.009898339
2013,min,0.022157387
2014,ppd,0.008514705
2014,res,0.005886304
2014,com,0.004592751
2014,amb,0.007796983
2014,fbp,0.006548265
2014,rec,0.025159251
2014,con,0.005527832
2014,agr,0.021938497
2014,eec,0.008133099
2014,pub,0.013204115
2014,hou,0.120561301
2014,fbt,0.014869044
2014,ins,0.006249281
2014,tex,0.01016129
2014,leg,0.003614256
2014,uti,0.056327858
2014,nmp,0.011351518
2014,brd,0.004491666
2014,bnk,0.019011831
2014,ore,0.023044036
2014,edu,0.022326714
2014,ote,0.007165326
2014,man,0.013149702
2014,mch,0.007846546
2014,dat,0.009426784
2014,amd,0.021944876
2014,oil,0.051367809
2014,hos,0.013462787
