yr,va,j,Value
2003,surplus,pub,71.15291799
2003,surplus,hou,921.5452344
2003,surplus,fbt,28.87297961
2003,surplus,ins,109.6594056
2003,surplus,tex,1.271937059
2003,surplus,leg,61.22281305
2003,surplus,fen,11.96434669
2003,surplus,uti,92.62645765
2003,surplus,nmp,15.01496878
2003,surplus,brd,150.4515667
2003,surplus,bnk,215.3198912
2003,surplus,ore,175.7042769
2003,surplus,edu,17.95000062
2003,surplus,ote,19.89194791
2003,surplus,man,20.23662043
2003,surplus,mch,26.17094438
2003,surplus,dat,28.34261253
2003,surplus,amd,29.32843807
2003,surplus,oil,65.90554165
2003,surplus,hos,29.29096057
2003,surplus,rnt,107.1560093
2003,surplus,pla,22.40130125
2003,surplus,fof,10.74754459
2003,surplus,fin,18.30517588
2003,surplus,tsv,162.7971409
2003,surplus,nrs,4.163050643
2003,surplus,sec,12.42742981
2003,surplus,art,25.9878227
2003,surplus,mov,41.54249009
