t_elas_y,,,,,,,,,,,,,,,,,,,,,,,
"PY[(:fin,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:tsv,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:nrs,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:sec,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:art,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:mov,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:fpd,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:slg,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:pri,)]",15,,,,,,,,,,,,,,,,,,,,,,
"PY[(:grd,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:pip,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:sle,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:osv,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:trn,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:smn,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:fmt,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:pet,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:mvt,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:cep,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:wst,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:mot,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:adm,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:soc,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:alt,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:pmt,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:trk,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:fdd,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:gmt,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:wtt,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:wpd,)]",16,,,,,,,,,,,,,,,,,,,,,,
"PY[(:wht,)]",17,,,,,,,,,,,,,,,,,,,,,,
"PY[(:wrh,)]",17,,,,,,,,,,,,,,,,,,,,,,
"PY[(:ott,)]",17,,,,,,,,,,,,,,,,,,,,,,
"PY[(:che,)]",17,,,,,,,,,,,,,,,,,,,,,,
"PY[(:air,)]",17,,,,,,,,,,,,,,,,,,,,,,
"PY[(:mmf,)]",17,,,,,,,,,,,,,,,,,,,,,,
"PY[(:otr,)]",17,,,,,,,,,,,,,,,,,,,,,,
"PY[(:min,)]",17,,,,,,,,,,,,,,,,,,,,,,
"PVA[(:compen,)]",18,,,,,,,,,,,,,,,,,,,,,,
"PVA[(:surplus,)]",18,,,,,,,,,,,,,,,,,,,,,,
"PM[(:trn,)]",18,,,,,,,,,,,,,,,,,,,,,,
"PM[(:trd,)]",18,,,,,,,,,,,,,,,,,,,,,,
PFX,18,,,,,,,,,,,,,,,,,,,,,,
